装修中80个增项漏项,,,,,,,
拆除阶段,,,,,,,
序号,增项漏项,具体内容,,,,,
1,铲墙皮,不要光听装修公司忽悠，要根据墙面腻子质量怎么样，是否手一模掉白，再决定铲不铲。,,,,,
,,铲除墙顶面的腻子怎么收费，铲到什么程度， 一般在8/平。,,,,,
2,垃圾清运,铲除墙体，墙壁铲灰，拆改墙体等装修阶段产生的垃圾，是否会把垃圾打包到垃圾清运点，是否需要额外收费;,,,,,
3,保温层拆除,阳台如果贴砖，保温层就需要拆除，否则挂不住砖，提前问清如何收费。,,,,,
4,拆除后修补,铲除过程会对墙地面造成一定的破坏，要进行修补;,,,,,
新建墙体阶段,,,,,,,
5,卫生间防水地梁,卫生间调整布局的情况下，需新建防水地梁，能避免缝隙，防止外墙因为水汽潮湿而霉变脱落。,,,,,
6,新建过头门梁      ,新建或调整原门洞，需新建过头门梁才能保证门的稳定性，问清楚需不需要单独收费，过头梁是浇筑，还是买成品的,,,,,
7,新建墙体抹灰,问清楚是单面抹灰还是双面抹灰，养护时间多久,,,,,
8,新建墙体植入钢筋,新建墙体要每间隔50公分植入钢筋，要打植筋胶,,,,,
9,顶面斜砌,新建墙体顶面要采用斜砌工艺，以免后期墙体沉降，导致顶面拼接处开裂。,,,,,
10,新建墙体挂网,新建墙体与旧墙体交界处需要挂钢丝网,,,,,
水电阶段,,,,,,,
序号,增项漏项,具体内容,,,,,
11,水电计价,传统的收费方式是按照米数或者点位收，现在已经很少用这两种方式了，因为不好 计算价格，建议预估好开关插座 、灯具等的数量，谈一口价；,,,,,
12,空调孔,在水电定位的时候，要问清楚现有空调孔是否需要更改高度，要更改的话那就需要重新打孔。可以自己请外面的师傅打孔，会便宜很多，不然等装修公司水电施工的时候他们会以赶进度为由自己打孔，他们打孔普遍都是很贵的,,,,,
13,水电开槽,1.水电均分为明装暗装，价格不一样，可提前沟通明装还是暗装;,,,,,
14,强弱电箱安装,户型改造可能会造成强弱电箱移位，需要重新开槽安装， 一般300-500元/个；,,,,,
15,水电走顶加钱,提前确定水电是走地还是走顶:大部分装修公司水电走地的，如果想走顶是另外计算价钱，那在定装修之前就得确认好，这样好谈价格;,,,,,
16,包保温棉,水管走顶要包保温棉，以防冷凝水.,,,,,
17,水电材料,签订合同的时候一定要注明好所使用的水电材料及型号，避免使用差的材料，后期要升级可是一大笔费用;,,,,,
18,水电穿线,一根电管内安装3根电线，如果水电是按照米数计费，警惕一跟电管内只安装一根 电线，故意增加米数来提高水电改造的费用；,,,,,
19,水电走顶,水电一般走地，厨卫水电集中建议走顶，更好维修，但是价格会更贵，需提前确认 清 楚 ；,,,,,
20,电线平方,一 般来说，普通照明用2.5平方为主即可，没有必要全屋用4平方线。但是入户建议 10平方线，部分大功率设备或电器需要4或6平方线。电线平方越大，价格越贵，也 要提前确认清楚；,,,,,
,,,,,,,
21,水电材料,水电材料是重中之重，提前确认好品牌、型号、规格等信息，确认是正规的大牌子 。避免到装的时候发现用的是杂牌，被坐地起价；,,,,,
22,强弱电交叉,强弱电交叉的地方要裹锡箔纸，以防信号干扰。,,,,,
23,提前确定好回路,一般一个两居室9个回路就够了。冰箱记得单走一路。,,,,,
24,零钱,如果做全屋只能需要走零线，提前沟通好价格,,,,,
25,卫生间回填,定装修的时候不告诉你是用什么进行回填，但实际上回填分为回填宝、陶粒建渣回填，每种的价格都不一样;要问清楚。最好不要用建筑垃圾回填。,,,,,
,,,,,,,
26,防水次数,卫生间墙地要涂刷2-3遍，墙面用刚性防水，地面用柔性防水，工艺提前确定清楚,,,,,
27,防水高度,可能报价时的高度说1.2米，后面告诉你做1.2有哪些弊端，推荐你加到1.8米;又要加钱了，都得提前确认好。,,,,,
